prof,topic_id,topic_words,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13
Hammerschmid1.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.7613111793994903,0.05747994171688333,0.018308444548165426,0.005359667327138595,0.01172933930065483,0.009343627432826906,0.008888247501454316,0.05307233529165387,0.0037322971533285455,0.012902892450802029,0.011730199481826275,0.006997074780520052,0.03408105504931882,0.0050637228385312484
Hammerschmid2.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.5466866359114647,0.08357149618095719,0.055168740544468166,0.03205354910169263,0.03280633121030405,0.020550746528897434,0.02410542668076232,0.038918427110183985,0.03141383294714615,0.014969462982844562,0.020595478045288475,0.015033345876145177,0.02679649917408824,0.05733003333443776
Hammerschmid3.txt,5,"['ed', 'art', 'component', 'come', 'received', 'believe', 'looking', 'nnational', 'fund', 'demands', 'giving', 'varies', 'hard', 'strength', 'statements', 'old', 'ultimately', 'nwhat', 'versus', 'greece']",0.08170260402512212,0.018837097667346824,0.03340442910193815,0.07192220750606566,0.0452045095726362,0.2918061084463261,0.0252764047214896,0.013646439348667628,0.07821807166774306,0.23798007379373304,0.016144058807833872,0.04980685525524677,0.011769608356391358,0.02428149043244048
Hammerschmid4.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.7755383357405663,0.1278269788948819,0.009820761671289802,0.004558854916831478,0.012251726572867484,0.00729312697367277,0.006241713868803345,0.021989844454219566,0.0026043401630886365,0.007096599385840818,0.007868826780759263,0.005648828182165744,0.007621036056661978,0.0036390108942214285
Hammerschmid5.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.6701239332556724,0.03550514187663793,0.02210140117094852,0.016260303999297322,0.025384405627846718,0.016416327306069435,0.014525920944288373,0.0464869741583243,0.009201239762478507,0.01654491466470063,0.04112305481685326,0.0131862701557111,0.03349260912509635,0.039647500782302815
Hammerschmid6.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.4430759117007256,0.08029730267589912,0.02593950815498829,0.019931456091580913,0.04263129049213603,0.02852142546325922,0.029591684346087277,0.08195939059369266,0.025665670054149815,0.02234549687127583,0.031284085218794645,0.022098581021418796,0.09117744681425392,0.0554807714332128
Hammerschmid7.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.8133624345064163,0.07784391474560834,0.014985005126800389,0.004456887229753193,0.009618080841028132,0.005323057813802734,0.0033820513868704437,0.015048623830080033,0.007532641659781803,0.009754059795523063,0.00500788984936662,0.014400195167399942,0.01381338756546029,0.005471756017868756
Hammerschmid8.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.8845404952764511,0.02645809974637814,0.009947530989302322,0.00517322669911664,0.0040096040567732414,0.005640747994766571,0.002625305511173792,0.015167340263724327,0.0040331922704353925,0.006621116364840418,0.009415263478877023,0.00571396921586711,0.01626357377390377,0.004390521898312727
Hammerschmid9.txt,4,"['states', 'state', 'institutions', 'conflict', 'social', 'ethnic', 'capacity', 'power', 'groups', 'war', 'civil', 'society', 'institutional', 'sharing', 'national', 'actors', 'peace', 'business', 'governments', 'literature']",0.08287421953864396,0.024067961593391373,0.043988714716397224,0.075134800048545,0.21544887144118546,0.07559588092844934,0.03548796640243381,0.05701365025015548,0.07380239472258836,0.04587414991110563,0.04512160837184638,0.032547113799955694,0.13488428823184223,0.05815836726105772
Hammerschmid10.txt,0,"['sector', 'public', 'management', 'npublic', 'administrative', 'research', 'reforms', 'reform', 'administration', 'private', 'organizational', 'performance', 'non', 'different', 'organizations', 'agencies', 'field', 'government', 'organization', 'project']",0.4189615998417139,0.023446269435225986,0.031221575546078385,0.04405839340761304,0.05368942636996508,0.017848449113080277,0.01745335046434775,0.20745393056422473,0.016847750875604105,0.024547405377961695,0.023455368072609416,0.018029576819390058,0.06928110860171728,0.033705784833000504
